"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3, C5","2","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","C4","1","100p","Capacitor_SMD:C_0805_2012Metric","","",""
"4","C6","1","2.2u box","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","",""
"5","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"6","D3, D4, D5, D7","4","1N4148","Diode_SMD:D_SOD-323_HandSoldering","","",""
"7","D6","1","LED_GREEN","LED_THT:LED_D3.0mm","","",""
"8","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"9","J2, J3, J4","3","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","",""
"10","J5, J6, J7","3","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","",""
"11","J8, J9, J10","3","AudioJack2_SwitchT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"12","Q1","1","BC547","Package_TO_SOT_THT:TO-92_Inline_Wide","","Mouser","637-BC547C"
"13","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"14","R3, R4, R5, R6, R24, R25","6","100K","Resistor_SMD:R_0805_2012Metric","","",""
"15","R7, R8, R9","3","47K","Resistor_SMD:R_0805_2012Metric","","",""
"16","R10, R11, R13, R18","4","150K","Resistor_SMD:R_0805_2012Metric","","",""
"17","R12, R21, R23","3","22K","Resistor_SMD:R_0805_2012Metric","","",""
"18","R14","1","1K","Resistor_SMD:R_0805_2012Metric","","",""
"19","R15","1","120K","Resistor_SMD:R_0805_2012Metric","","",""
"20","R16","1","220K","Resistor_SMD:R_0805_2012Metric","","",""
"21","R17, R20","2","15K","Resistor_SMD:R_0805_2012Metric","","",""
"22","R19","1","1.5K","Resistor_SMD:R_0805_2012Metric","","",""
"23","R22","1","4.7K","Resistor_SMD:R_0805_2012Metric","","",""
"24","RV1","1","100K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"25","RV2","1","C1M","Eurorack:Potentiometer_RV16AF-41-15R1","","",""
"26","RV3","1","500K","Potentiometer_THT:Potentiometer_Bourns_3006P_Horizontal","","",""
"27","U1, U2","2","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","Mouser","595-TL074CDR"
